id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384,Condo in Chicago · ★4.99 · 1 bedroom · 1 bed · 1 shared bath,2613,Rebecca,NA,Hyde Park,41.7879,-87.5878,Private room,70,3,229,2023-10-31,2.1,1,362,19,R17000015609
7126,Rental unit in Chicago · ★4.70 · 1 bedroom · 1 bed · 1 bath,17928,Sarah,NA,West Town,41.90166,-87.68021,Entire home/apt,90,2,512,2023-10-09,2.91,1,335,36,R21000075737
10945,Rental unit in Chicago · ★4.63 · 2 bedrooms · 2 beds · 1 bath,33004,At Home Inn,NA,Lincoln Park,41.91196,-87.63981,Entire home/apt,106,4,78,2023-11-06,0.66,5,225,19,2209984
1461451,Rental unit in Chicago · ★4.60 · 1 bedroom · 1 bed · 2 shared baths,2907254,Joe,NA,West Ridge,42.01653,-87.68788,Shared room,28,1,188,2023-11-21,1.49,15,180,10,R21000075752
1502674,Rental unit in Chicago · ★4.79 · 2 bedrooms · 2 beds · 1 bath,33004,At Home Inn,NA,Lincoln Park,41.91175,-87.63834,Entire home/apt,146,4,110,2023-12-10,0.88,5,0,27,2209985
12140,Boutique hotel in Chicago · ★4.93 · 1 bedroom · 1 bed · 1 private bath,46734,Shay And Robert,NA,Lincoln Park,41.92357,-87.64947,Private room,329,2,15,2023-05-21,0.15,1,174,2,R20000055258
24833,Rental unit in Chicago · ★4.29 · 1 bedroom · 1 bed · 1 bath,101521,Red,NA,Lincoln Park,41.925961,-87.656364,Entire home/apt,59,32,40,2023-04-22,0.24,3,216,1,City registration pending
1554433,Bungalow in Chicago · ★4.85 · 1 bedroom · 1 bed · 1.5 shared baths,6088938,Eric,NA,Beverly,41.71554,-87.67197,Private room,49,32,199,2023-10-09,1.59,2,319,2,R17000013891
25879,Rental unit in Chicago · ★4.32 · 2 bedrooms · 3 beds · 1 bath,101521,Red,NA,Lincoln Park,41.92499,-87.65573,Entire home/apt,74,32,49,2023-09-30,0.3,3,365,2,City registration pending
28749,Loft in Chicago · ★4.78 · 3 bedrooms · 3 beds · 2 baths,27506,Lauri,NA,Logan Square,41.92137,-87.67932,Entire home/apt,139,2,195,2023-12-17,1.23,1,177,31,R22000079930
1562331,Rental unit in Chicago · 1 bedroom · 1 bed · 1 shared bath,3710712,Rick,NA,Portage Park,41.95993,-87.77808,Private room,NA,32,0,NA,NA,1,87,0,NA
37738,Home in Chicago · ★4.99 · 1 bedroom · 1 bed · 1.5 shared baths,162364,Mat And Randy,NA,Uptown,41.97303,-87.66567,Private room,NA,32,250,2020-03-15,1.53,2,0,0,R20000059426
1573401,Home in Chicago · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,8186262,April,NA,Lower West Side,41.85592,-87.66249,Private room,48,2,362,2023-11-25,5.02,2,125,57,R21000069179
71930,Rental unit in Chicago · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,334241,Michael And Veronica,NA,West Town,41.89615,-87.67934,Private room,96,3,109,2023-10-22,0.71,2,270,13,R17000013986
1584422,Rental unit in Chicago · ★4.93 · 3 bedrooms · 8 beds · 2 baths,2810938,Carole,NA,Near North Side,41.90532,-87.64761,Entire home/apt,514,3,45,2023-11-05,0.36,3,0,12,2555923
