LocationID,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,lack_H_insurance,arthritis,binge_drinking,high_blood_press,med_HBP,cancer,asthma,cervical_cancer,coronary_heart_dis,routine_checkup,cholesterol_screen,colon_screen,chronic_pulmonary_dis,old_men_preventive,old_women_preventive,curr_smoking,dental_visit,diabetes,high_cholesterol,chronic_kidney_dis,no_physical_activity,mammogrpahy,not_good_mental_health,obesity,not_good_physical_health,sleep_lt_7hours,stroke,teeth_lost,aland10,totpop13_17,popden13_17,phispanic13_17,pnhwhite13_17,pnhblack13_17,pfborn13_17,pincgt75k13_17,p18yr_13_17,p18_2913_17,p30_3913_17,p40_4913_17,p50_6913_17,pge7013_17,punemp13_17,pprof13_17,ppov13_17,disadvantage13_17,disadvantage2_13_17,affluence13_17,ethnicimmigrant13_17
39061021201,OH,Ohio,Hamilton,39061,39061021201,5.3,31.6,17.9,33.2,80.5,9.1,8.4,89.4,7.6,81.5,90.1,71.2,6.7,42.9,32.1,12.9,80.4,10.9,36.5,2.8,19.1,78.3,10.2,28,10.3,29.7,3,9,1.486896,2011,1352.482,0.0104425661,0.9870710969,0,0.0124316262,0.7056856155,0.1824962646,0.1054201871,0.0716061667,0.1049229205,0.3455992043,0.1899552494,0.0175541248,0.4715686142,0.0044753854,0.0070814872,0.0088518597,0.5647552013,0.0114370957
12105012127,FL,Florida,Polk,12105,12105012127,19.7,29.7,15,38.5,79.1,9,8.5,82,9.4,79.8,87.1,68.2,9.4,31.2,28.5,16.8,61.6,12.4,36.9,3.6,26.9,75.8,13.4,29.9,14,36.7,4.2,14.5,3.209462,7269,2264.866,0.1765029579,0.6746457815,0.0909341052,0.1136332378,0.373675406,0.1741642654,0.1256018728,0.1023524553,0.1465125829,0.2756913006,0.1756775379,0.0022786458,0.332906127,0.0634237304,0.0649761632,0.0584866777,0.3122779727,0.1450680941
36053031100,NY,New York,Madison,36053,36053031100,11.7,27.4,19.5,32.4,75.5,7.2,11.2,85,7.1,78.2,85.6,64.9,8.8,29.1,22.2,22.1,62,10.3,34.8,2.8,26.1,78.5,14.5,34.2,12.7,37.2,3.2,17.5,77.82167,2387,30.67269,0,0.994134903,0,0.0012568077,0.3779661059,0.2429828197,0.0934227034,0.1302890629,0.1445328891,0.2605781257,0.1281943917,0.034174554,0.2580019534,0.1363255084,0.0628481433,0.078560181,0.2651615441,0.0006284039
34003023301,NJ,New Jersey,Bergen,34003,34003023301,12.2,22.9,15.9,31.8,76.5,6.9,8.9,86.1,5.5,81.6,90.4,63.4,5.3,41.2,33.4,13.4,73,9.4,33.8,2.6,26.9,76.6,11.6,24.2,11.2,36.6,2.8,9.2,0.4156471,3051,7340.362,0.2494264245,0.3880694807,0.1884627938,0.2995738983,0.7364705801,0.1668305546,0.1615863591,0.1166830584,0.1691248715,0.2769583762,0.1088167801,0.0255813953,0.4867352545,0.0252376273,0.0558078587,0.0226441249,0.548502028,0.2745001614
47019071200,TN,Tennessee,Carter,47019,47019071200,19.8,37.2,13.3,41.6,77.5,7.1,12.2,78.6,10.7,74.9,83.2,58.3,14.7,24.3,19.3,32.1,41.8,15.9,40.7,3.9,39.5,72.2,21,39.8,21.5,43.3,5,28.7,14.78195,3666,248.0051,0.0125477361,0.9825422764,0,0.0081833061,0.1796218455,0.1980360001,0.12302237,0.1407528669,0.1039279848,0.3256955743,0.1085651964,0.0449586771,0.2937853038,0.3006033897,0.1204349473,0.1505436897,0.1994376034,0.0103655206
12086008102,FL,Florida,Miami-Dade,12086,12086008102,16.1,20,17.6,27.6,75.5,7.1,7,87.4,6.2,78.7,90.5,66.7,5.4,37.6,27.7,10.9,75,9.2,33.5,2.7,19.6,81.1,10.3,22.8,10.2,33.4,2.7,7.1,1.794695,5307,2957.048,0.3740342855,0.4422460794,0.0062182024,0.3595251441,0.7059800625,0.2317693681,0.17090635,0.0910118744,0.1371773183,0.2715281844,0.0976069346,0.0310095586,0.5854490399,0.1197129935,0.0572535656,0.0700124055,0.6261941791,0.3667797148
29097010600,MO,Missouri,Jasper,29097,29097010600,17.7,29.7,17.4,32,73.6,6,10.7,80.3,6.8,74.3,78.2,61,9.2,33.7,31.3,25.6,49.1,10.5,32.7,2.9,30,73.3,18.6,37.5,15.5,36.2,3.5,22.1,1.678324,5006,2982.738,0.0041949661,0.910107851,0.0679184943,0.0099880146,0.1372549087,0.2532960474,0.2934478521,0.1652017534,0.0791050717,0.1600079834,0.0489412695,0.0185281839,0.1685852259,0.2550131679,0.1681901962,0.1932581216,0.1490888447,0.0070914901
34027040803,NJ,New Jersey,Morris,34027,34027040803,8.2,19.9,15.4,29.3,75.3,6.7,7.7,85.4,4.6,81.6,90.2,69,4,45.7,36.7,10.2,80.3,7.7,32.2,2.1,19.5,80.3,9.3,22.4,8.9,34.2,2.1,6,3.957215,6660,1683.002,0.0363363363,0.680180192,0.0112612611,0.2605105042,0.792214632,0.2493993938,0.115015015,0.1536035985,0.127327323,0.257807821,0.0968468487,0.0397893488,0.578391552,0.0452824458,0.0369557217,0.0433793366,0.6702253222,0.1484234184
23005000200,ME,Maine,Cumberland,23005,23005000200,10.8,20.6,22.1,23,65.2,5.6,10.5,89.3,4.5,69.8,81.2,72.7,4.6,37.9,29,13.8,73.5,6.2,27.5,2,14.4,79.6,12.9,24.6,8.8,30.5,2,10.4,0.1738684,2583,14856.07,0.0526519567,0.8768873215,0.0108401086,0.028648857,0.4180602133,0.1920247823,0.2214479297,0.2377080917,0.1095625237,0.190089047,0.0491676331,0.0144320298,0.5027223229,0.1486643404,0.1110323071,0.1360803545,0.4966364503,0.040650405
27053021800,MN,Minnesota,Hennepin,27053,27053021800,5.3,21.7,20.2,26.2,77.6,8.1,7.9,90.4,5.1,77.9,91.2,75,3.4,41.1,37,8.6,82.3,7.5,31.4,2.5,13.9,82.4,7.7,21.6,7.9,23.6,2.6,4.4,1.484913,2316,1559.688,0.0112262517,0.8497409225,0.0401554406,0.069948189,0.8256173134,0.2012089789,0.0660621747,0.1191709861,0.1260794401,0.3385146856,0.1489637345,0.01591512,0.6874473691,0.038860105,0.0286540706,0.0257787276,0.7444364429,0.0405872203
